# Generated by mutants.py -- what legend-engine does with each damaged fixture.
# NOT a correctness oracle: it records behaviour, not what behaviour should be.
# legend-lite must produce the same verdict for the same input.
# fixture	operator	site	verdict	message
connection-auth.pure	brace-body-to-paren	line at 1449	REJECTED	Unexpected token '('
connection-auth.pure	brace-body-to-paren	line at 1805	REJECTED	Unexpected token '('
connection-auth.pure	brace-body-to-paren	line at 2072	REJECTED	Unexpected token '('
connection-auth.pure	delete-field	store: fixture::auth::Db;	ACCEPTED	
connection-auth.pure	delete-field	type: SqlServer;	REJECTED	Field 'type' is required
connection-auth.pure	delete-field	name: 'name';	REJECTED	Field 'name' is required
connection-auth.pure	drop-semicolon	type: SqlServer;	REJECTED	Unexpected token
connection-auth.pure	drop-semicolon	name: 'name';	REJECTED	Unexpected token
connection-auth.pure	drop-semicolon	store: fixture::auth::Db;	REJECTED	Unexpected token
connection-auth.pure	duplicate-field	store: fixture::auth::Db;	REJECTED	Field 'store' should be specified only once
connection-auth.pure	duplicate-field	type: SqlServer;	REJECTED	Field 'type' should be specified only once
connection-auth.pure	duplicate-field	name: 'name';	REJECTED	Field 'name' should be specified only once
connection-auth.pure	keyword-lowercase	ApiToken -> apiToken	ACCEPTED	
connection-auth.pure	keyword-lowercase	BigQuery -> bigQuery	REJECTED	Unknown database type 'bigQuery'
connection-auth.pure	keyword-lowercase	Connection -> connection	REJECTED	'connection' is not a known section parser
connection-auth.pure	swap-siblings	store: fixture::auth::Db;	ACCEPTED	
connection-auth.pure	swap-siblings	name: 'name';	ACCEPTED	
connection-auth.pure	swap-siblings	host: 'host';	ACCEPTED	
connection-auth.pure	wrong-section	Connection -> Text	REJECTED	Unexpected token 'RelationalDatabaseConnection'. Valid alternatives: ['Text']
connection-model.pure	brace-body-to-paren	line at 332	REJECTED	Unexpected token '('
connection-model.pure	brace-body-to-paren	line at 447	REJECTED	Unexpected token '('
connection-model.pure	delete-field	import fixture::conn::*;	ACCEPTED	
connection-model.pure	delete-field	class: fixture::conn::Person;	REJECTED	Field 'class' is required
connection-model.pure	delete-field	url: 'model://fixture/person.json';	REJECTED	Field 'url' is required
connection-model.pure	drop-semicolon	url: 'model://fixture/person.json';	REJECTED	Unexpected token
connection-model.pure	drop-semicolon	import fixture::conn::*;	REJECTED	Unexpected token
connection-model.pure	drop-semicolon	class: fixture::conn::Person;	REJECTED	Unexpected token
connection-model.pure	duplicate-field	import fixture::conn::*;	ACCEPTED	
connection-model.pure	duplicate-field	class: fixture::conn::Person;	REJECTED	Field 'class' should be specified only once
connection-model.pure	duplicate-field	url: 'model://fixture/person.json';	REJECTED	Field 'url' should be specified only once
connection-model.pure	keyword-lowercase	Connection -> connection	REJECTED	'connection' is not a known section parser
connection-model.pure	keyword-lowercase	Json -> json	ACCEPTED	
connection-model.pure	keyword-lowercase	JsonModelConnection -> jsonModelConnection	ACCEPTED	
connection-model.pure	swap-siblings	class: fixture::conn::Person;	ACCEPTED	
connection-model.pure	swap-siblings	class: fixture::conn::Person;	ACCEPTED	
connection-model.pure	wrong-section	Connection -> Text	REJECTED	Unexpected token 'import'. Valid alternatives: ['Text']
connection-postprocessor.pure	brace-body-to-paren	line at 1515	REJECTED	Unexpected token '('
connection-postprocessor.pure	delete-field	import fixture::pp::*;	ACCEPTED	
connection-postprocessor.pure	delete-field	store: fixture::pp::AccountDB;	ACCEPTED	
connection-postprocessor.pure	delete-field	type: H2;	REJECTED	Field 'type' is required
connection-postprocessor.pure	drop-semicolon	store: fixture::pp::AccountDB;	REJECTED	Unexpected token
connection-postprocessor.pure	drop-semicolon	type: H2;	REJECTED	Unexpected token
connection-postprocessor.pure	drop-semicolon	import fixture::pp::*;	REJECTED	Unexpected token
connection-postprocessor.pure	duplicate-field	import fixture::pp::*;	ACCEPTED	
connection-postprocessor.pure	duplicate-field	store: fixture::pp::AccountDB;	REJECTED	Field 'store' should be specified only once
connection-postprocessor.pure	duplicate-field	type: H2;	REJECTED	Field 'type' should be specified only once
connection-postprocessor.pure	keyword-lowercase	ACCOUNT -> aCCOUNT	ACCEPTED	
connection-postprocessor.pure	keyword-lowercase	AccountDB -> accountDB	ACCEPTED	
connection-postprocessor.pure	keyword-lowercase	Conn -> conn	ACCEPTED	
connection-postprocessor.pure	paren-body-to-brace	line at 1081	REJECTED	Unexpected token '{'
connection-postprocessor.pure	swap-siblings	store: fixture::pp::AccountDB;	ACCEPTED	
connection-postprocessor.pure	swap-siblings	type: H2;	ACCEPTED	
connection-postprocessor.pure	swap-siblings	timezone: 'UTC';	ACCEPTED	
connection-postprocessor.pure	wrong-section	QueryPostProcessor -> Text	REJECTED	Unexpected token 'import'. Valid alternatives: ['Text']
connection-snowflake.pure	brace-body-to-paren	line at 630	REJECTED	Unexpected token '('
connection-snowflake.pure	delete-field	store: fixture::sf::Db;	ACCEPTED	
connection-snowflake.pure	delete-field	type: Snowflake;	REJECTED	Field 'type' is required
connection-snowflake.pure	delete-field	name: 'warehouseDb';	REJECTED	Field 'name' is required
connection-snowflake.pure	drop-semicolon	type: Snowflake;	REJECTED	Unexpected token
connection-snowflake.pure	drop-semicolon	name: 'warehouseDb';	REJECTED	Unexpected token
connection-snowflake.pure	drop-semicolon	store: fixture::sf::Db;	REJECTED	Unexpected token
connection-snowflake.pure	duplicate-field	store: fixture::sf::Db;	REJECTED	Field 'store' should be specified only once
connection-snowflake.pure	duplicate-field	type: Snowflake;	REJECTED	Field 'type' should be specified only once
connection-snowflake.pure	duplicate-field	name: 'warehouseDb';	REJECTED	Field 'name' should be specified only once
connection-snowflake.pure	keyword-lowercase	Conn -> conn	ACCEPTED	
connection-snowflake.pure	keyword-lowercase	Connection -> connection	REJECTED	'connection' is not a known section parser
connection-snowflake.pure	keyword-lowercase	RelationalDatabaseConnection -> relationalDatabaseConnection	REJECTED	Unsupported connection value type: relationalDatabaseConnection
connection-snowflake.pure	swap-siblings	store: fixture::sf::Db;	ACCEPTED	
connection-snowflake.pure	swap-siblings	name: 'warehouseDb';	ACCEPTED	
connection-snowflake.pure	swap-siblings	account: 'acct1';	ACCEPTED	
connection-snowflake.pure	wrong-section	Connection -> Text	REJECTED	Unexpected token 'RelationalDatabaseConnection'. Valid alternatives: ['Text']
diagram-full.pure	brace-body-to-paren	line at 483	REJECTED	Unexpected token '('
diagram-full.pure	delete-field	import fixture::dia::*;	ACCEPTED	
diagram-full.pure	delete-field	class: fixture::dia::Person;	REJECTED	Field 'class' is required
diagram-full.pure	delete-field	position: (123.123,23.23);	REJECTED	Field 'position' is required
diagram-full.pure	drop-semicolon	class: fixture::dia::Person;	REJECTED	Unexpected token
diagram-full.pure	drop-semicolon	position: (123.123,23.23);	REJECTED	Unexpected token
diagram-full.pure	drop-semicolon	import fixture::dia::*;	REJECTED	Unexpected token
diagram-full.pure	duplicate-field	import fixture::dia::*;	ACCEPTED	
diagram-full.pure	duplicate-field	class: fixture::dia::Person;	REJECTED	Field 'class' should be specified only once
diagram-full.pure	duplicate-field	position: (123.123,23.23);	REJECTED	Field 'position' should be specified only once
diagram-full.pure	keyword-lowercase	Address -> address	ACCEPTED	
diagram-full.pure	keyword-lowercase	Diagram -> diagram	ACCEPTED	
diagram-full.pure	keyword-lowercase	Firm -> firm	ACCEPTED	
diagram-full.pure	swap-siblings	class: fixture::dia::Person;	ACCEPTED	
diagram-full.pure	swap-siblings	position: (123.123,23.23);	ACCEPTED	
diagram-full.pure	swap-siblings	rectangle: (120.84765625,58.0);	ACCEPTED	
diagram-full.pure	wrong-section	Diagram -> Text	REJECTED	Unexpected token 'import'. Valid alternatives: ['Text']
domain-aggregation.pure	brace-body-to-paren	line at 312	REJECTED	Unexpected token '('. Valid alternatives: ['extends', 'projects', '[', '<']
domain-aggregation.pure	brace-body-to-paren	line at 368	REJECTED	Unexpected token '('. Valid alternatives: ['extends', 'projects', '[', '<']
domain-aggregation.pure	brace-body-to-paren	line at 559	REJECTED	Unexpected token '('. Valid alternatives: ['projects']
domain-aggregation.pure	delete-field	sku: String[1];	ACCEPTED	
domain-aggregation.pure	delete-field	plain: String[1];	ACCEPTED	
domain-aggregation.pure	drop-semicolon	sku: String[1];	REJECTED	Unexpected token '}'. Valid alternatives: ['=', ';']
domain-aggregation.pure	drop-semicolon	plain: String[1];	REJECTED	Unexpected token '}'. Valid alternatives: ['=', ';']
domain-aggregation.pure	duplicate-field	sku: String[1];	ACCEPTED	
domain-aggregation.pure	duplicate-field	plain: String[1];	ACCEPTED	
domain-aggregation.pure	keyword-lowercase	Assembly -> assembly	ACCEPTED	
domain-aggregation.pure	keyword-lowercase	AssemblyPart -> assemblyPart	ACCEPTED	
domain-aggregation.pure	keyword-lowercase	Association -> association	ACCEPTED	
domain-aggregation.pure	wrong-section	Pure -> Text	REJECTED	Unexpected token 'Class'. Valid alternatives: ['Text']
domain-constraints.pure	brace-body-to-paren	line at 1068	REJECTED	Unexpected token
domain-constraints.pure	brace-body-to-paren	line at 1213	REJECTED	Unexpected token
domain-constraints.pure	delete-field	code: String[1];	ACCEPTED	
domain-constraints.pure	delete-field	notional: Float[1];	ACCEPTED	
domain-constraints.pure	drop-semicolon	code: String[1];	REJECTED	Unexpected token 'notional'. Valid alternatives: ['=', ';']
domain-constraints.pure	drop-semicolon	notional: Float[1];	REJECTED	Unexpected token '}'. Valid alternatives: ['=', ';']
domain-constraints.pure	duplicate-field	code: String[1];	ACCEPTED	
domain-constraints.pure	duplicate-field	notional: Float[1];	ACCEPTED	
domain-constraints.pure	keyword-lowercase	Class -> class	REJECTED	Unexpected token 'class'. Valid alternatives: ['Class', 'Association', 'Profile', 'Enum', 'Measure', 'function', 'native
domain-constraints.pure	keyword-lowercase	Constrained -> constrained	ACCEPTED	
domain-constraints.pure	keyword-lowercase	Error -> error	ACCEPTED	
domain-constraints.pure	swap-siblings	code: String[1];	ACCEPTED	
domain-constraints.pure	wrong-section	Pure -> Text	REJECTED	Unexpected token 'Class'. Valid alternatives: ['Text']
domain-enum-and-identifiers.pure	brace-body-to-paren	line at 587	REJECTED	Unexpected token '('
domain-enum-and-identifiers.pure	brace-body-to-paren	line at 649	REJECTED	Unexpected token '('
domain-enum-and-identifiers.pure	brace-body-to-paren	line at 699	REJECTED	Unexpected token '('. Valid alternatives: ['extends', 'projects', '[', '<']
domain-enum-and-identifiers.pure	delete-field	as: String[1];	ACCEPTED	
domain-enum-and-identifiers.pure	delete-field	region: fixture::domain::Region[1];	ACCEPTED	
domain-enum-and-identifiers.pure	delete-field	side: fixture::domain::Side[1];	ACCEPTED	
domain-enum-and-identifiers.pure	drop-semicolon	side: fixture::domain::Side[1];	REJECTED	Unexpected token '}'. Valid alternatives: ['=', ';']
domain-enum-and-identifiers.pure	drop-semicolon	as: String[1];	REJECTED	Unexpected token 'region'. Valid alternatives: ['=', ';']
domain-enum-and-identifiers.pure	drop-semicolon	region: fixture::domain::Region[1];	REJECTED	Unexpected token 'side'. Valid alternatives: ['=', ';']
domain-enum-and-identifiers.pure	duplicate-field	as: String[1];	ACCEPTED	
domain-enum-and-identifiers.pure	duplicate-field	region: fixture::domain::Region[1];	ACCEPTED	
domain-enum-and-identifiers.pure	duplicate-field	side: fixture::domain::Side[1];	ACCEPTED	
domain-enum-and-identifiers.pure	keyword-lowercase	AMERICAS -> aMERICAS	ACCEPTED	
