test	mode	position	shapes	sql_prefix	census_arms
meta::external::store::relational::modelJoins::test::testJoinWithConstantDate	default	project	grouped-subselect-join	select "root".value as "Value", "legalentity_view_0".name as "Client/Name" from Trades.Trade as "root" left outer join (select "root".ENTITY_ID as ENTITY_ID, "r	exists-material
meta::external::store::relational::modelJoins::test::testJoinWithConstantDouble	default	project	grouped-subselect-join	select "root".value as "Value", "legalentity_view_0".name as "Client/Name" from Trades.Trade as "root" left outer join (select "root".ENTITY_ID as ENTITY_ID, "r	exists-material
meta::external::store::relational::modelJoins::test::testJoinWithConstantString	default	project	grouped-subselect-join+on-clause-literal-pred	select "root".value as "Value", "legalentity_view_0".name as "Client/Name" from Trades.Trade as "root" left outer join (select "root".ENTITY_ID as ENTITY_ID, "r	exists-material
meta::external::store::relational::modelJoins::test::testJoinWithInequalities	default	project	grouped-subselect-join	select "root".value as "Value", "legalentity_view_0".name as "Client/Name" from Trades.Trade as "root" left outer join (select "root".ENTITY_ID as ENTITY_ID, "r	exists-material
meta::external::store::relational::modelJoins::test::testPersonToFirmUsingFromProject	default	project	no-sql-golden		exists-material
meta::pure::alloy::connections::tests::relationalMapper::testRelationalMapperTwoDBs	default	filter+project	on-clause-literal-pred+top-where-pred	select "root".NAME as "name", "synonymtable_0".NAME as "cusip" from snDB.productSchemaNewDBINC.productTableNewINC as "root" left outer join snDB.productSchemaNe	exists-join-form-dedup|exists-material
meta::pure::alloy::connections::tests::relationalMapper::testRelationalMapperWithJoin	default	project	on-clause-literal-pred	select "addresstable_0".NAME as "address" from snDBDefault.default.firmTableNew as "root" left outer join snDBDefault.default.personTable as "persontable_0" on 	exists-material
meta::pure::executionPlan::tests::tdsWithEnumReturn	default	project	no-sql-golden		exists-material
meta::pure::executionPlan::tests::testGroupByWithOpenVariableInAgg	default	filter+groupBy	no-sql-golden		exists-material
meta::pure::executionPlan::tests::testGroupByWithTwoOpenVariablesInAggAndFilter	default	filter+groupBy	no-sql-golden		exists-material
meta::pure::executionPlan::tests::testMultiExpressionWithPlatformAndFromFunction	default	filter+map	no-sql-golden		exists-material
meta::pure::executionPlan::tests::testTemporalDateVariableInFunctionExpression	default	filter+project	top-where-pred	select "productclassificationtable_0".type as "classificationType" from ProductTable as "root" left outer join ProductClassificationTable as "productclassificat	exists-material
meta::pure::executionPlan::tests::testTemporalDateVariableInFunctionExpression	default	filter+project	top-where-pred	select "productclassificationtable_0".type as "classificationType" from ProductTable as "root" left outer join ProductClassificationTable as "productclassificat	exists-material
meta::pure::executionPlan::tests::testTemporalDateVariableInFunctionExpressionWithPropagation	default	filter+project	filtered-subselect-join+top-where-pred	select "productexchangetable_0".name as "exchangeName" from ProductTable as "root" left outer join ProductClassificationTable as "productclassificationtable_0" 	exists-material
meta::pure::executionPlan::tests::testTemporalDateVariableInFunctionExpressionWithPropagation	default	filter+project	filtered-subselect-join+top-where-pred	select "productexchangetable_0".name as "exchangeName" from ProductTable as "root" left outer join ProductClassificationTable as "productclassificationtable_0" 	exists-material
meta::pure::executionPlan::tests::testTemporalDateVariableInPropertySequence	default	filter+project	on-clause-literal-pred+top-where-pred	select "productclassificationtable_0".type as "classificationType" from ProductTable as "root" left outer join ProductClassificationTable as "productclassificat	exists-material
meta::pure::executionPlan::tests::testTemporalDateVariableInPropertySequence	default	filter+project	top-where-pred	select "productclassificationtable_0".type as "classificationType" from ProductTable as "root" left outer join ProductClassificationTable as "productclassificat	exists-material
meta::pure::lineage::scanColumns::test::testQualifier	default	map+project	no-sql-golden		exists-material
meta::pure::lineage::scanColumns::test::testSubType	default	map+project	no-sql-golden		exists-material
meta::relational::graphFetch::tests::chain::testRelationalChainExecutionFlat	default	other	no-sql-golden		correlated-count-reducer
meta::relational::graphFetch::tests::chain::testRelationalChainExecutionNested	default	other	no-sql-golden		correlated-count-reducer
meta::relational::graphFetch::tests::chain::testRelationalChainExecutionWithFilter	default	filter	no-sql-golden		correlated-count-reducer
meta::relational::graphFetch::tests::chain::testRelationalChainExecutionWithInScopeVariableFilter	default	filter	no-sql-golden		correlated-count-reducer
meta::relational::graphFetch::tests::milestoning::testSnapshotMilestoning	default	filter	no-sql-golden		exists-material
meta::relational::graphFetch::tests::qualifier::testEnumParameter	default	filter	no-sql-golden		exists-join-form-dedup|exists-material
meta::relational::graphFetch::tests::qualifier::testSubAggregationInQualifier	default	other	no-sql-golden		correlated-agg-reducer
meta::relational::graphFetch::tests::resultSourcing::testSourcingJsonResultToQuery	default	filter+project	no-sql-golden		exists-material
meta::relational::graphFetch::tests::resultSourcing::testSourcingJsonResultToQueryWithFiltersInMapping	default	filter+project	no-sql-golden		exists-material
meta::relational::graphFetch::tests::resultSourcing::testSourcingJsonResultToQueryWithParametersInUrl	default	filter+project	no-sql-golden		exists-material
meta::relational::graphFetch::tests::simple::testSelfJoinWithFilterOnPropertyHavingSameDatatypeAsRootInGraphFetchTree	default	filter	no-sql-golden		exists-material
meta::relational::testDataGeneration::tests::TestDatGenForNestedViews	default	project	no-sql-golden		exists-material
meta::relational::testDataGeneration::tests::testDataGenerationWithBiTemporalMilestoning	default	project	no-sql-golden		exists-material
meta::relational::testDataGeneration::tests::testDataGenerationWithBiTemporalMilestoning_WithMilestoningDates	default	project	no-sql-golden		exists-material
meta::relational::testDataGeneration::tests::testDataGenerationWithBusinessDateMilestoning_WithMilestoningDates	default	project	no-sql-golden		exists-material
meta::relational::testDataGeneration::tests::testDataGenerationWithSnapshotMilestoning_WithMilestoningDates	default	project	no-sql-golden		exists-material
meta::relational::testDataGeneration::tests::testInheritanceMultipleLevel	default	project	single-table	select top 20  	"root".ID, "root".name  from Person as "root"  where "root".ID = '1' or "root".name = 'Atul Anand'	exists-material
meta::relational::testDataGeneration::tests::testInheritanceMultipleLevel	default	project	plain-join	select top 20  	"bicycle_0".ID, "bicycle_0".b_PersonID  from testDataGen_Temp_Person as "testdatagen_temp_person_0"  	inner join Bicycle  	as "bicycle_0" 	 on (	exists-material
meta::relational::testDataGeneration::tests::testInheritanceMultipleLevel	default	project	plain-join	select top 20  	"person_0".ID, "person_0".name  from testDataGen_Temp_Bicycle as "testdatagen_temp_bicycle_0"  	inner join Person  	as "person_0" 	 on ("person_	exists-material
meta::relational::testDataGeneration::tests::testInheritanceMultipleLevel	default	project	plain-join	select top 20  	"car_0".ID, "car_0".c_PersonID, "car_0".engineType  from testDataGen_Temp_Person as "testdatagen_temp_person_0"  	inner join Car  	as "car_0" 	 	exists-material
meta::relational::testDataGeneration::tests::testInheritanceMultipleTableJoin	default	project	single-table	select top 20 "root".ID, "root".name from Person as "root" where "root".ID = '1' or "root".name = 'Atul Anand'	exists-material
meta::relational::testDataGeneration::tests::testInheritanceMultipleTableJoin	default	project	plain-join	select top 20 "bicycle_0".ID, "bicycle_0".b_Description, "bicycle_0".b_PersonID from testDataGen_Temp_Person as "testdatagen_temp_person_0" inner join Bicycle a	exists-material
meta::relational::testDataGeneration::tests::testInheritanceMultipleTableJoin	default	project	plain-join	select top 20 "car_0".ID, "car_0".c_Description, "car_0".c_PersonID from testDataGen_Temp_Person as "testdatagen_temp_person_0" inner join Car as "car_0" on ("t	exists-material
meta::relational::testDataGeneration::tests::testQualifier	default	project	single-table	select top 20  	"root".ID, "root".prodId  from tradeTable as "root"  where "root".tradeDate = '2014-12-04' or "root".prodId = 2	exists-material
meta::relational::testDataGeneration::tests::testQualifier	default	project	single-table	select top 20  	"root".ID, "root".prodId  from tradeTable as "root"  where "root".tradeDate = DATE'2014-12-04' or "root".prodId = 2	exists-material
meta::relational::testDataGeneration::tests::testQualifier	default	project	plain-join	select top 20  	"producttable_0".ID, "producttable_0".NAME  from testDataGen_Temp_tradeTable as "testdatagen_temp_tradetable_0"  	inner join productSchema.produ	exists-material
meta::relational::testDataGeneration::tests::testQualifier	default	project	plain-join	select top 20  	"synonymtable_0".ID, "synonymtable_0".NAME, "synonymtable_0".PRODID, "synonymtable_0".TYPE  from testDataGen_Temp_productTable as "testdatagen_t	exists-material
meta::relational::testDataGeneration::tests::testSelfJoin	default	project	single-table	select top 20  	"root".FIRSTNAME, "root".ID, "root".LASTNAME, "root".MANAGERID  from personTable as "root"  where "root".ID = 5 or "root".ID = 1	exists-material
meta::relational::testDataGeneration::tests::testSelfJoin	default	project	plain-join	select top 20  	"persontable_0".FIRSTNAME, "persontable_0".ID, "persontable_0".LASTNAME, "persontable_0".MANAGERID  from testDataGen_Temp_personTable as "testda	exists-material
meta::relational::testDataGeneration::tests::testSelfJoin	default	project	plain-join	select top 20  	"persontable_0".FIRSTNAME, "persontable_0".ID, "persontable_0".LASTNAME, "persontable_0".MANAGERID  from testDataGen_Temp_personTable as "testda	exists-material
meta::relational::testDataGeneration::tests::testSimpleTwoTable	default	project	single-table	select top 20  	"root".ID, "root".name  from Person as "root"  where "root".name = 'Atul Anand'	exists-material
meta::relational::testDataGeneration::tests::testSimpleTwoTable	default	project	plain-join	select top 20  	"bicycle_0".ID, "bicycle_0".b_PersonID  from testDataGen_Temp_Person as "testdatagen_temp_person_0"  	inner join Bicycle  	as "bicycle_0" 	 on (	exists-material
meta::relational::testDataGeneration::tests::testSimpleTwoTableMultipleStartRows	default	project	single-table	select top 20  	"root".ID, "root".name  from Person as "root"  where "root".ID = '1' or "root".name = 'Atul Anand'	exists-material
