id	family	query	decl_type	decl_mult	sql	java_class	value	status	verdict
ar.plus.ii	arith	|7 + 2	Integer	[1]	SELECT 7 + 2 AS value	Integer	9	OK	OK
ar.plus.if	arith	|7 + 2.5	Number	[1]	SELECT 7 + CAST(2.5 AS DOUBLE) AS value	Double	9.5	OK	OK
ar.plus.fi	arith	|7.5 + 2	Number	[1]	SELECT CAST(7.5 AS DOUBLE) + 2 AS value	Double	9.5	OK	OK
ar.plus.ff	arith	|7.5 + 2.5	Float	[1]	SELECT CAST(7.5 AS DOUBLE) + CAST(2.5 AS DOUBLE) AS value	Double	10.0	OK	OK
ar.minus.ii	arith	|7 - 2	Integer	[1]	SELECT 7 - 2 AS value	Integer	5	OK	OK
ar.minus.if	arith	|7 - 2.5	Number	[1]	SELECT 7 - CAST(2.5 AS DOUBLE) AS value	Double	4.5	OK	OK
ar.minus.fi	arith	|7.5 - 2	Number	[1]	SELECT CAST(7.5 AS DOUBLE) - 2 AS value	Double	5.5	OK	OK
ar.minus.ff	arith	|7.5 - 2.5	Float	[1]	SELECT CAST(7.5 AS DOUBLE) - CAST(2.5 AS DOUBLE) AS value	Double	5.0	OK	OK
ar.times.ii	arith	|7 * 2	Integer	[1]	SELECT 7 * 2 AS value	Integer	14	OK	OK
ar.times.if	arith	|7 * 2.5	Number	[1]	SELECT 7 * CAST(2.5 AS DOUBLE) AS value	Double	17.5	OK	OK
ar.times.fi	arith	|7.5 * 2	Number	[1]	SELECT CAST(7.5 AS DOUBLE) * 2 AS value	Double	15.0	OK	OK
ar.times.ff	arith	|7.5 * 2.5	Float	[1]	SELECT CAST(7.5 AS DOUBLE) * CAST(2.5 AS DOUBLE) AS value	Double	18.75	OK	OK
ar.div.ii	arith	|7 / 2	Float	[1]	SELECT ((1.0 * 7) / 2) AS value	Double	3.5	OK	OK
ar.div.if	arith	|7 / 2.5	Float	[1]	SELECT ((1.0 * 7) / CAST(2.5 AS DOUBLE)) AS value	Double	2.8	OK	OK
ar.div.fi	arith	|7.5 / 2	Float	[1]	SELECT ((1.0 * CAST(7.5 AS DOUBLE)) / 2) AS value	Double	3.75	OK	OK
ar.div.ff	arith	|7.5 / 2.5	Float	[1]	SELECT ((1.0 * CAST(7.5 AS DOUBLE)) / CAST(2.5 AS DOUBLE)) AS value	Double	3.0	OK	OK
ar.plus.fn	arith	|plus(1,2)	Integer	[1]	SELECT 1 + 2 AS value	Integer	3	OK	OK
ar.minus.fn	arith	|minus(5,2)	Integer	[1]	SELECT 5 - 2 AS value	Integer	3	OK	OK
ar.times.fn	arith	|times(5,2)	Integer	[1]	SELECT 5 * 2 AS value	Integer	10	OK	OK
ar.divide.fn	arith	|divide(7,2)	Float	[1]	SELECT ((1.0 * 7) / 2) AS value	Double	3.5	OK	OK
ar.divide.scale	arith	|divide(7,2,3)	Decimal	[1]	SELECT CAST(ROUND(((1.0 * 7) / 2), 3) AS DECIMAL(38, 3)) AS value	BigDecimal	3.500	OK	OK
ar.divideRound	arith	|meta::legend::lite::divideRound(7,2,2)	Float	[1]	SELECT ROUND_EVEN(((1.0 * 7) / 2), 2) AS value	Double	3.5	OK	OK
ar.plus.list	arith	|plus([1,2,3])	Integer	[1]	SELECT list_sum([1, 2, 3]) AS value	BigInteger	6	OK	OK
ar.minus.list	arith	|minus([10,2,3])	Integer	[1]	SELECT CASE WHEN len([10, 2, 3]) = 1 THEN 0 - list_extract([10, 2, 3], 1) ELSE list_reduce([10, 2, 3], (_ma, _mb) -> _ma - _mb) END AS value	Integer	5	OK	OK
ar.times.list	arith	|times([2,3,4])	Integer	[1]	SELECT list_aggregate([2, 3, 4], 'product') AS value	Double	24.0	OK	DIVERGENCE:class
ar.plus.string	arith	|'a' + 'b'	String	[1]	SELECT concat('a', 'b') AS value	String	ab	OK	OK
ar.sub.i	arith	|meta::legend::lite::sub(5,2)	Integer	[1]	SELECT 5 - 2 AS value	Integer	3	OK	OK
ar.sub.f	arith	|meta::legend::lite::sub(5.5,2.5)	Float	[1]	SELECT CAST(5.5 AS DOUBLE) - CAST(2.5 AS DOUBLE) AS value	Double	3.0	OK	OK
ar.sub.d	arith	|meta::legend::lite::sub(5.5d,2.5d)	Decimal	[1]	SELECT 5.5 - 2.5 AS value	BigDecimal	3.0	OK	OK
ar.sub.n	arith	|meta::legend::lite::sub(5,2.5)	Number	[1]	SELECT 5 - CAST(2.5 AS DOUBLE) AS value	Double	2.5	OK	OK
ar.mod.7_3	arith	|mod(7,3)	Integer	[1]	SELECT MOD(MOD(7, 3) + 3, 3) AS value	Integer	1	OK	OK
ar.rem.7_3	arith	|rem(7,3)	Number	[1]	SELECT CASE WHEN 3 = 0 THEN error(concat('Cannot divide ', CAST(7 AS VARCHAR), ' by zero')) ELSE MOD(7, 3) END AS value	Integer	1	OK	OK
ar.mod.-7_3	arith	|mod(-7,3)	Integer	[1]	SELECT MOD(MOD(-7, 3) + 3, 3) AS value	Integer	2	OK	OK
ar.rem.-7_3	arith	|rem(-7,3)	Number	[1]	SELECT CASE WHEN 3 = 0 THEN error(concat('Cannot divide ', CAST(-7 AS VARCHAR), ' by zero')) ELSE MOD(-7, 3) END AS value	Integer	-1	OK	OK
ar.mod.7_-3	arith	|mod(7,-3)	Integer	[1]	SELECT MOD(MOD(7, -3) + -3, -3) AS value	Integer	-2	OK	OK
ar.rem.7_-3	arith	|rem(7,-3)	Number	[1]	SELECT CASE WHEN -3 = 0 THEN error(concat('Cannot divide ', CAST(7 AS VARCHAR), ' by zero')) ELSE MOD(7, -3) END AS value	Integer	1	OK	OK
ar.mod.-7_-3	arith	|mod(-7,-3)	Integer	[1]	SELECT MOD(MOD(-7, -3) + -3, -3) AS value	Integer	-1	OK	OK
ar.rem.-7_-3	arith	|rem(-7,-3)	Number	[1]	SELECT CASE WHEN -3 = 0 THEN error(concat('Cannot divide ', CAST(-7 AS VARCHAR), ' by zero')) ELSE MOD(-7, -3) END AS value	Integer	-1	OK	OK
ar.mod.0_3	arith	|mod(0,3)	Integer	[1]	SELECT MOD(MOD(0, 3) + 3, 3) AS value	Integer	0	OK	OK
ar.rem.0_3	arith	|rem(0,3)	Number	[1]	SELECT CASE WHEN 3 = 0 THEN error(concat('Cannot divide ', CAST(0 AS VARCHAR), ' by zero')) ELSE MOD(0, 3) END AS value	Integer	0	OK	OK
ar.rem.float	arith	|rem(7.5,2.0)	Number	[1]	SELECT CASE WHEN CAST(2.0 AS DOUBLE) = 0 THEN error(concat('Cannot divide ', CAST(CAST(7.5 AS DOUBLE) AS VARCHAR), ' by zero')) ELSE MOD(CAST(7.5 AS DOUBLE), CAST(2.0 AS DOUBLE)) END AS value	Double	1.5	OK	OK
ar.mod.zero	arith	|mod(7,0)	Integer	[1]	SELECT MOD(MOD(7, 0) + 0, 0) AS value	null	null	OK	OK(empty)
