cfg.version	cfg	OK	String:v1.5.0
cfg.sqlmode	cfg	ERR	Invalid Input Error: Attempting to execute an unsuccessful or closed pending query result Error: Catalog Error: Scalar Function with name @@ does not exist! Did you mean "@"? LINE 1: SELECT @@sql_mode ^
cfg.tz	cfg	ERR	Invalid Input Error: Attempting to execute an unsuccessful or closed pending query result Error: Catalog Error: Scalar Function with name @@ does not exist! Did you mean "@"? LINE 1: SELECT @@time_zone ^
cfg.systz	cfg	ERR	Invalid Input Error: Attempting to execute an unsuccessful or closed pending query result Error: Catalog Error: Scalar Function with name @@ does not exist! Did you mean "@"? LINE 1: SELECT @@system_time_zone ^
cfg.charset	cfg	ERR	Invalid Input Error: Attempting to execute an unsuccessful or closed pending query result Error: Catalog Error: Scalar Function with name @@ does not exist! Did you mean "@"? LINE 1: SELECT @@character_set_connection ^
cfg.collconn	cfg	ERR	Invalid Input Error: Attempting to execute an unsuccessful or closed pending query result Error: Catalog Error: Scalar Function with name @@ does not exist! Did you mean "@"? LINE 1: SELECT @@collation_connection ^
cfg.collserver	cfg	ERR	Invalid Input Error: Attempting to execute an unsuccessful or closed pending query result Error: Catalog Error: Scalar Function with name @@ does not exist! Did you mean "@"? LINE 1: SELECT @@collation_server ^
cfg.lctn	cfg	ERR	Invalid Input Error: Attempting to execute an unsuccessful or closed pending query result Error: Catalog Error: Scalar Function with name @@ does not exist! Did you mean "@"? LINE 1: SELECT @@lower_case_table_names ^
cfg.divprec	cfg	ERR	Invalid Input Error: Attempting to execute an unsuccessful or closed pending query result Error: Catalog Error: Scalar Function with name @@ does not exist! Did you mean "@"? LINE 1: SELECT @@div_precision_increment ^
cfg.dq1	cfg	ERR	Invalid Input Error: Attempting to execute an unsuccessful or closed pending query result Error: Binder Error: Referenced column "abc" was not found because the FROM clause is missing LINE 1: SELECT "abc" ^
cfg.dq2	cfg	ERR	Invalid Input Error: Attempting to execute an unsuccessful or closed pending query result Error: Binder Error: Referenced column "abc" was not found because the FROM clause is missing LINE 1: SELECT LENGTH("abc") ^
cfg.dq3	cfg	OK	String:alice
cfg.bt1	cfg	ERR	Invalid Input Error: Attempting to execute an unsuccessful or closed pending query result Error: Catalog Error: Scalar Function with name `__postfix does not exist! Did you mean "!__postfix"? LINE 1: SELECT `name` FROM e...
cfg.pipes1	cfg	OK	String:ab
cfg.pipes2	cfg	OK	String:10
cfg.pipes3	cfg	OK	String:00
cfg.pipes4	cfg	OK	Boolean:true
cfg.bool1	cfg	OK	Boolean:true
cfg.bool2	cfg	OK	Boolean:true
cfg.boolcol	cfg	OK	Boolean:true
cfg.strcmpcase	cfg	OK	Boolean:false
cfg.strcmppad	cfg	OK	Boolean:false
cfg.strorder	cfg	OK	String:B
ar.plus	arith	OK	Integer:5
ar.minus	arith	OK	Integer:7
ar.times	arith	OK	Integer:12
ar.neg	arith	OK	Integer:-5
ar.div.duck	arith	OK	Double:3.5
ar.div.plain	arith	OK	Double:3.5
ar.div.exact	arith	OK	Double:2.0
ar.div.type	arith	OK	Double:0.3333333333333333
ar.div.neg	arith	OK	Double:-3.5
ar.div.zero	arith	OK	Double:Infinity
ar.div.dbl	arith	OK	Double:3.5
ar.intdiv.duck	arith	OK	Integer:3
ar.intdiv.c1	arith	ERR	Parser Error: syntax error at or near "2" LINE 1: SELECT 7 DIV 2 ^
ar.intdiv.c2	arith	ERR	Parser Error: syntax error at or near "2" LINE 1: SELECT -7 DIV 2 ^
ar.intdiv.c3	arith	ERR	Parser Error: syntax error at or near "-" LINE 1: SELECT 7 DIV -2 ^
ar.intdiv.c4	arith	OK	Double:3.0
ar.intdiv.zero	arith	ERR	Parser Error: syntax error at or near "0" LINE 1: SELECT 7 DIV 0 ^
ar.intdiv.dec	arith	ERR	Parser Error: syntax error at or near "2" LINE 1: SELECT 7.5 DIV 2 ^
ar.mod.duck.p	arith	OK	Integer:1
ar.mod.duck.n	arith	OK	Integer:2
ar.rem.duck.n	arith	OK	Integer:-1
ar.rem.duck.n2	arith	OK	Integer:1
ar.rem.op	arith	OK	Integer:-1
ar.rem.dec	arith	OK	BigDecimal:-1.5
ar.rem.zero	arith	OK	<null>
ar.abs	arith	OK	Integer:5
ar.abs.dec	arith	OK	BigDecimal:5.5
rd.duck.05	round	OK	Double:0.0
rd.duck.25	round	OK	Double:2.0
rd.dec.05	round	OK	BigDecimal:1
rd.dec.15	round	OK	BigDecimal:2
rd.dec.25	round	OK	BigDecimal:3
rd.dec.35	round	OK	BigDecimal:4
rd.dec.n05	round	OK	BigDecimal:-1
rd.dec.n25	round	OK	BigDecimal:-3
rd.dbl.05	round	OK	Double:1.0
