ITEM	COUNT/SIZE	VERDICT	PLAN_SECTION_OR_BLANK	NOTE
== POM.XML (8, not 7) ==				
pom.xml (root)	219 lines	DELETED	§7 row "Every pom.xml..."	counted in the 1,118-line sum
core/pom.xml	211 lines	DELETED	§7 row "Every pom.xml..."	counted in the 1,118-line sum
spec/pom.xml	109 lines	DELETED	§7 row "Every pom.xml..."	counted in the 1,118-line sum
nlq/pom.xml	80 lines	DELETED	§7 row "Every pom.xml..."	counted in the 1,118-line sum
pct/pom.xml	258 lines	DELETED	§7 row "Every pom.xml..."	counted in the 1,118-line sum
parser-equivalence/pom.xml	186 lines	DELETED	§7 row "Every pom.xml..."	counted in the 1,118-line sum
tools/engine-runner/pom.xml	55 lines	DELETED	§7 row "Every pom.xml..."	counted in the 1,118-line sum; sum of these 7 = 1,118, matches §7 exactly
experiments/backend-probes/harness/pom.xml	74 lines	UNADDRESSED	(none)	8th pom.xml in the repo; not named anywhere; not in §7's 1,118-line sum; contradicts acceptance criterion §1.8 ("no pom.xml... remains") since experiments/ is kept (.bazelignore'd) through phase 6
== SHELL SCRIPTS (15) ==				
tools/allgates.sh	502 lines	DELETED	§7 row	replaced by bazel test //...
tools/bump.sh	313 lines	DELETED	§7 row	replaced by MODULE.bazel repin + //tools:accept
tools/version-report.sh	270 lines	DELETED	§7 row	replaced by derived-version test
tools/classpath-convergence.sh	86 lines	DELETED	§7 row	replaced by genquery test
tools/oracle-roots.sh	69 lines	DELETED	§7 row (bundled with oracle-pins.env, 119 total)	replaced by pinned MODULE.bazel entries
tools/oracle-pins.env	50 lines	DELETED	§7 row	bundled with oracle-roots.sh
tools/diagnostics.sh	47 lines	DELETED	§7 row	becomes manual targets
tools/corpus-both.sh	11 lines	DELETED	§7 row	becomes two test targets
tools/ci-watch.sh	18 lines	DELETED	§7 row	replaced by `gh run watch`
tools/judge-lanes.sh	33 lines	DELETED	§7 row	folded into bazel test //...
docs/type-audit-2026-08/harness/jrun.sh	small	UNADDRESSED	(none)	inside a docs/ audit subdirectory never itemized; "Archive docs/" (phase 6) never says what happens to executable scripts embedded in docs/
docs/type-audit-2026-08/harness/probe.sh	small	UNADDRESSED	(none)	same directory as above
docs/type-audit-2026-08/harness/setup.sh	small	UNADDRESSED	(none)	same directory as above
experiments/backend-probes/harness/mariadb-fix.sh	small	UNADDRESSED	(none)	experiments/ is only discussed as "two prototypes" (legend_rules_test, tree_artifact_test); backend-probes is a third experiments/ subtree with its own pom+shell, never named
experiments/legend_rules_test/test_full_pipeline.sh	small	SCOPED-OUT	§5 phase1 (.bazelignore lists experiments/)	the two named Bazel prototypes are generically excluded via .bazelignore; this script's own fate isn't itemized but the directory-level scoping-out is explicit
experiments/tree_artifact_test/test_unused_inputs.sh	small	SCOPED-OUT	§5 phase1 (.bazelignore lists experiments/)	same directory-level scoping as above
== PYTHON (121 files, ~56.1k lines total, not ~51k) ==				
scripts/corpus/*.py	64 files, 46,812 lines	DATA/TARGET (generator)	§4.8 row "stress corpus's generated sources"; §4.7 corpus-generators.yml; phase 5	the largest slice is addressed: kept committed, re-verified by a scheduled workflow, no bazel test //... dependency
scripts/projects/check.py	174 lines	TARGET (superseded)	phase 5 ("enforced by the build rather than by scripts/projects/check.py")	replaced by 56 legend_library targets
scripts/projects/spec.py	256 lines	UNADDRESSED	(none)	sibling to check.py in the same directory; never named
scripts/projects/loadtime.py	122 lines	UNADDRESSED	(none)	sibling to check.py; never named
scripts/parser/*.py (parity,mutants,keywords,tiers,fixtures)	5 files, 1,439 lines	UNADDRESSED	(none)	feeds parser-equivalence's sibling-corpus / FixtureCorpusParityTest per docs/STRESS_CORPUS_THROUGH_LITE_2026_09_16.md:18, but the plan's Python inventory only ever discusses scripts/corpus and scripts/projects/check.py; this whole generator family for a committed corpus is never mentioned
scripts/outstanding.py	163 lines	UNADDRESSED	(none)	not the "four Python scripts... in tools/" phase-5 names; lives in scripts/ top level; also hardcodes /Users/neema/... per docs/TENET_AUDIT_2026_08_16.md:515 (a portability bug the plan's Windows-focused §4.6 never touches because it never looks at this file)
scripts/generate_pure_constants.py	337 lines	UNADDRESSED	(none)	scripts/ top level, never named
