lat.pg.unnest_comma	lateral	ERR	[SQLITE_ERROR] SQL error or missing database (near "AS": syntax error)
lat.pg.lateral_kw	lateral	ERR	[SQLITE_ERROR] SQL error or missing database (near "AS": syntax error)
lat.pg.cross_lateral	lateral	ERR	[SQLITE_ERROR] SQL error or missing database (near "AS": syntax error)
lat.pg.left_lateral	lateral	ERR	[SQLITE_ERROR] SQL error or missing database (near "AS": syntax error)
lat.pg.selectlist	lateral	ERR	[SQLITE_ERROR] SQL error or missing database (near "[10,20,30]": syntax error)
lat.pg.scalar_sub	lateral	ERR	[SQLITE_ERROR] SQL error or missing database (near "(": syntax error)
lat.pg.correlated_agg	lateral	ERR	[SQLITE_ERROR] SQL error or missing database (near "AS": syntax error)
lat.lite.json_each	lateral	OK	Integer:1
lat.lite.json_each_join	lateral	OK	Integer:1
lat.lite.json_each_lit	lateral	OK	Integer:10
lat.lite.json_each_scalar	lateral	OK	Integer:60
lat.lite.json_tree	lateral	OK	Integer:4
lat.lite.json_group	lateral	OK	String:[10,20,30]
lat.my.json_table	lateral	ERR	[SQLITE_ERROR] SQL error or missing database (near "COLUMNS": syntax error)
lat.my.json_extract	lateral	OK	Integer:20
lat.my.json_length	lateral	ERR	[SQLITE_ERROR] SQL error or missing database (no such function: JSON_LENGTH)
lat.my.json_arrayagg	lateral	ERR	[SQLITE_ERROR] SQL error or missing database (no such function: JSON_ARRAYAGG)
lat.rec.cte	lateral	OK	Integer:3
lat.rec.correlated	lateral	OK	Integer:3
lat.real.pg	lateral	ERR	[SQLITE_ERROR] SQL error or missing database (near "(": syntax error)
lat.real.lite	lateral	OK	Integer:1
lat.real.my	lateral	ERR	[SQLITE_ERROR] SQL error or missing database (near "COLUMNS": syntax error)
