bucket,status,family,test,file,line,detail
1. ENGINE SELF-METAMODEL (pure-implemented compiler internals),SHAPE,autogeneration/tests,testClassesAssociationsAndMappingFromDatabase,autogeneration/tests/relationalToPure.pure,5,no execute(|...) call [calls meta::relational::extension] — wall: unknown class 'meta::protocols::pure::vX_X_X::metamodel::PureModelContextData' in ^meta::protocols::pure::vX_X_X::metamodel::PureModelContextData(…)
1. ENGINE SELF-METAMODEL (pure-implemented compiler internals),SHAPE,executionPlan/tests,testRoutingContextBuilderFunctions,executionPlan/tests/executionPlanTest.pure,1522,assert form 'assertEquals/2' is not supported yet — plan wall: class meta::pure::metamodel::type::Any has no property 'type'
1. ENGINE SELF-METAMODEL (pure-implemented compiler internals),SHAPE,helperFunctions/tests,dropAndCreateTempTable,helperFunctions/tests/testDdlGeneration.pure,75,no execute(|...) call [calls meta::external::store::relational::tests] — wall: unknown class 'meta::relational::metamodel::datatype::Integer' in ^meta::relational::metamodel::datatype::Integer(…)
1. ENGINE SELF-METAMODEL (pure-implemented compiler internals),SHAPE,helperFunctions/tests,testCreateTempTableStatement,helperFunctions/tests/testDdlGeneration.pure,69,no execute(|...) call — wall: unknown class 'meta::relational::metamodel::datatype::Integer' in ^meta::relational::metamodel::datatype::Integer(…)
1. ENGINE SELF-METAMODEL (pure-implemented compiler internals),SHAPE,lineage/scanColumns,testNonDataTypeProperty,lineage/scanColumns/scanColumnsTests.pure,64,scanColumns query: class-typed property '$p.address' used as a whole value is graph output (Phase H4)
1. ENGINE SELF-METAMODEL (pure-implemented compiler internals),SHAPE,milestoning/tests,testMilestoningFilterApplicationOnSemiStructuredRelationalOperationElements,milestoning/tests/testApplyMilestoningFilters.pure,29,"no execute(|...) call [calls meta::relational::extension] — wall: Unknown type: 'Operation' is not a known primitive, class, or enum"
1. ENGINE SELF-METAMODEL (pure-implemented compiler internals),SHAPE,postprocessor/tests,testDb2ColumnRename,postprocessor/tests/testPostProcessor.pure,432,"no execute(|...) call [calls meta::relational::functions::sqlQueryToString] — wall: Unknown type: 'SQLQuery' is not a known primitive, class, or enum"
1. ENGINE SELF-METAMODEL (pure-implemented compiler internals),SHAPE,postprocessor/tests,testPostProcessTransformJoinOp,postprocessor/tests/testPostProcessor.pure,439,"no execute(|...) call [calls meta::external::store::relational::tests] — wall: Unknown type: 'SQLQuery' is not a known primitive, class, or enum"
1. ENGINE SELF-METAMODEL (pure-implemented compiler internals),SHAPE,postprocessor/tests,testPushFiltersDownToJoinsPostProcessorToSQL,postprocessor/tests/testPostProcessor.pure,398,"no execute(|...) call [calls meta::relational::functions::sqlQueryToString] — wall: Unknown type: 'SQLQuery' is not a known primitive, class, or enum"
1. ENGINE SELF-METAMODEL (pure-implemented compiler internals),SHAPE,pureToSQLQuery/tests,addDriverTablePkForProject,pureToSQLQuery/tests/testPureToSql.pure,271,"no execute(|...) call [calls meta::external::store::relational::tests] — wall: Unknown type: 'ValueSpecification' is not a known primitive, class, or enum"
1. ENGINE SELF-METAMODEL (pure-implemented compiler internals),SHAPE,pureToSQLQuery/tests,simpleFunctionExpressionTranslationAdjust,pureToSQLQuery/tests/testPureToSql.pure,257,"no execute(|...) call [calls meta::external::store::relational::tests] — wall: Unknown type: 'SQLQuery' is not a known primitive, class, or enum"
1. ENGINE SELF-METAMODEL (pure-implemented compiler internals),SHAPE,pureToSQLQuery/tests,simpleFunctionExpressionTranslationNow,pureToSQLQuery/tests/testPureToSql.pure,239,"no execute(|...) call [calls meta::external::store::relational::tests] — wall: Unknown type: 'SQLQuery' is not a known primitive, class, or enum"
1. ENGINE SELF-METAMODEL (pure-implemented compiler internals),SHAPE,pureToSQLQuery/tests,testFindAliasMappingBySchemaName,pureToSQLQuery/tests/testPureToSql.pure,204,"no execute(|...) call — wall: unknown function 'relation' — no function of this name in the native or user catalog (unported platform function, or a misspelling)"
1. ENGINE SELF-METAMODEL (pure-implemented compiler internals),SHAPE,pureToSQLQuery/tests,testFindFunctionSequenceMultiplicity,pureToSQLQuery/tests/testPureToSql.pure,29,"no execute(|...) call — wall: 'ZeroMany' is not a known class, mapping, runtime, connection, or database — user elements in a query need a fully qualified name"
1. ENGINE SELF-METAMODEL (pure-implemented compiler internals),SHAPE,pureToSQLQuery/tests,testImportDataFlow,pureToSQLQuery/tests/testPureToSql.pure,296,"no execute(|...) call [calls meta::external::store::relational::tests] — wall: Unknown type: 'SQLQuery' is not a known primitive, class, or enum"
1. ENGINE SELF-METAMODEL (pure-implemented compiler internals),SHAPE,pureToSQLQuery/tests,testMergeOldAliasToNewAlias,pureToSQLQuery/tests/testPureToSql.pure,149,no execute(|...) call — wall: in function 'meta::relational::functions::pureToSqlQuery::mergeOldAliasToNewAlias': cannot access 'name' on V
