NEST.dd	nest	ERR	[SQLITE_ERROR] SQL error or missing database (unrecognized token: "]")
NEST.pg1	nest	ERR	[SQLITE_ERROR] SQL error or missing database (near "[ARRAY[1,2]": syntax error)
NEST.pg2	nest	ERR	[SQLITE_ERROR] SQL error or missing database (near "[ARRAY[1,2]": syntax error)
NEST.pg3	nest	ERR	[SQLITE_ERROR] SQL error or missing database (near "[ARRAY[1,2]": syntax error)
NEST.pg4	nest	ERR	[SQLITE_ERROR] SQL error or missing database (near "[ARRAY[1,2]": syntax error)
NEST.pg5	nest	ERR	[SQLITE_ERROR] SQL error or missing database (unrecognized token: ":")
NEST.pg6	nest	ERR	[SQLITE_ERROR] SQL error or missing database (near "[ARRAY[1,2]": syntax error)
NEST.pg7	nest	ERR	[SQLITE_ERROR] SQL error or missing database (near "[ARRAY[1,2]": syntax error)
NEST.pg8	nest	ERR	[SQLITE_ERROR] SQL error or missing database (near "AS": syntax error)
NEST.pg9	nest	ERR	[SQLITE_ERROR] SQL error or missing database (unrecognized token: ":")
NEST.pg10	nest	ERR	[SQLITE_ERROR] SQL error or missing database (unrecognized token: ":")
NEST.pg11	nest	ERR	[SQLITE_ERROR] SQL error or missing database (unrecognized token: "#")
NEST.dd2	nest	ERR	[SQLITE_ERROR] SQL error or missing database (unrecognized token: "]")
RED.dd	fold	ERR	[SQLITE_ERROR] SQL error or missing database (no such column: 1,2,3,4)
RED.pg	fold	ERR	[SQLITE_ERROR] SQL error or missing database (near "[1,2,3,4]": syntax error)
REDS.pg	fold	ERR	[SQLITE_ERROR] SQL error or missing database (near "['a','b','c']": syntax error)
PRODZ.dd	fold	ERR	[SQLITE_ERROR] SQL error or missing database (no such column: 2,0,-4)
PRODZ.pg	fold	ERR	[SQLITE_ERROR] SQL error or missing database (near "[2,0,-4]": syntax error)
PROD.dd	fold	ERR	[SQLITE_ERROR] SQL error or missing database (no such column: 2,3,4)
PROD.pg	fold	ERR	[SQLITE_ERROR] SQL error or missing database (near "[2,3,4]": syntax error)
FLAT.dd	shape	ERR	[SQLITE_ERROR] SQL error or missing database (unrecognized token: "]")
FLAT.pg	shape	ERR	[SQLITE_ERROR] SQL error or missing database (unrecognized token: "#")
FLAT.sq	shape	OK	String:1,2,3
MAPFL.dd	map	ERR	[SQLITE_ERROR] SQL error or missing database (no such column: 'a','b')
MAPFL.pg1	map	ERR	[SQLITE_ERROR] SQL error or missing database (near "['a','b']": syntax error)
MAPFL.pg2	map	ERR	[SQLITE_ERROR] SQL error or missing database (near "['a','b']": syntax error)
MAPFL.sq	map	OK	Integer:2
MAPENT.dd	map	ERR	[SQLITE_ERROR] SQL error or missing database (no such column: {'k':'a','v':1},{'k':'b','v':2})
MAPENT.pg	map	ERR	[SQLITE_ERROR] SQL error or missing database (unrecognized token: ":")
MAPENT.sq	map	OK	Integer:2
MAPEMPTY.dd	map	ERR	[SQLITE_ERROR] SQL error or missing database (unrecognized token: "{")
MAPEMPTY.pg	map	ERR	[SQLITE_ERROR] SQL error or missing database (unrecognized token: ":")
MAPEMPTY.sq	map	OK	Integer:0
MAPKEYS.dd	map	ERR	[SQLITE_ERROR] SQL error or missing database (no such column: 'a','b')
MAPKEYS.pg	map	ERR	[SQLITE_ERROR] SQL error or missing database (unrecognized token: ":")
MAPKEYS.sq	map	OK	String:a,b
MAPVALS.dd	map	ERR	[SQLITE_ERROR] SQL error or missing database (no such column: 'a','b')
MAPVALS.pg	map	ERR	[SQLITE_ERROR] SQL error or missing database (unrecognized token: "#")
MAPVALS.sq	map	OK	String:1,2
MAPCAT.dd	map	ERR	[SQLITE_ERROR] SQL error or missing database (no such column: 'b')
