# BATCH A - session config, arithmetic, rounding, math, bitwise, null
cfg.version	cfg	SELECT VERSION()
cfg.sqlmode	cfg	SELECT @@sql_mode
cfg.tz	cfg	SELECT @@time_zone
cfg.systz	cfg	SELECT @@system_time_zone
cfg.charset	cfg	SELECT @@character_set_connection
cfg.collconn	cfg	SELECT @@collation_connection
cfg.collserver	cfg	SELECT @@collation_server
cfg.lctn	cfg	SELECT @@lower_case_table_names
cfg.divprec	cfg	SELECT @@div_precision_increment
cfg.dq1	cfg	SELECT "abc"
cfg.dq2	cfg	SELECT LENGTH("abc")
cfg.dq3	cfg	SELECT "name" FROM emp WHERE id=1
cfg.bt1	cfg	SELECT `name` FROM emp WHERE id=1
cfg.pipes1	cfg	SELECT 'a' || 'b'
cfg.pipes2	cfg	SELECT 1 || 0
cfg.pipes3	cfg	SELECT 0 || 0
cfg.pipes4	cfg	SELECT 'abc' || 'def' = 'abcdef'
cfg.bool1	cfg	SELECT TRUE
cfg.bool2	cfg	SELECT (1=1)
cfg.boolcol	cfg	SELECT (sal > 100) FROM emp WHERE id=1
cfg.strcmpcase	cfg	SELECT ('abc' = 'ABC')
cfg.strcmppad	cfg	SELECT ('abc' = 'abc ')
cfg.strorder	cfg	SELECT MIN(name) FROM (SELECT 'B' AS name UNION ALL SELECT 'a') t
# ---- arithmetic
ar.plus	arith	SELECT 2 + 3
ar.minus	arith	SELECT 6 - (4 - 5)
ar.times	arith	SELECT 3 * 4
ar.neg	arith	SELECT -(5)
ar.div.duck	arith	SELECT ((1.0 * 7) / 2)
ar.div.plain	arith	SELECT 7 / 2
ar.div.exact	arith	SELECT 10 / 5
ar.div.type	arith	SELECT 1 / 3
ar.div.neg	arith	SELECT -7 / 2
ar.div.zero	arith	SELECT 1 / 0
ar.div.dbl	arith	SELECT 7e0 / 2
ar.intdiv.duck	arith	SELECT (7 // 2)
ar.intdiv.c1	arith	SELECT 7 DIV 2
ar.intdiv.c2	arith	SELECT -7 DIV 2
ar.intdiv.c3	arith	SELECT 7 DIV -2
ar.intdiv.c4	arith	SELECT FLOOR(7 / 2)
ar.intdiv.zero	arith	SELECT 7 DIV 0
ar.intdiv.dec	arith	SELECT 7.5 DIV 2
ar.mod.duck.p	arith	SELECT MOD(MOD(7, 3) + 3, 3)
ar.mod.duck.n	arith	SELECT MOD(MOD(-7, 3) + 3, 3)
ar.rem.duck.n	arith	SELECT MOD(-7, 3)
ar.rem.duck.n2	arith	SELECT MOD(7, -3)
ar.rem.op	arith	SELECT -7 % 3
ar.rem.dec	arith	SELECT MOD(-7.5, 3)
ar.rem.zero	arith	SELECT MOD(7, 0)
ar.abs	arith	SELECT ABS(-5)
ar.abs.dec	arith	SELECT ABS(-5.5)
# ---- rounding: ROUND is documented HALF-EVEN in SqlFn
rd.duck.05	round	SELECT ROUND_EVEN(0.5, 0)
rd.duck.25	round	SELECT ROUND_EVEN(2.5, 0)
rd.dec.05	round	SELECT ROUND(0.5)
rd.dec.15	round	SELECT ROUND(1.5)
rd.dec.25	round	SELECT ROUND(2.5)
rd.dec.35	round	SELECT ROUND(3.5)
rd.dec.n05	round	SELECT ROUND(-0.5)
rd.dec.n25	round	SELECT ROUND(-2.5)
rd.dbl.05	round	SELECT ROUND(0.5e0)
rd.dbl.15	round	SELECT ROUND(1.5e0)
rd.dbl.25	round	SELECT ROUND(2.5e0)
rd.dbl.35	round	SELECT ROUND(3.5e0)
rd.dbl.n25	round	SELECT ROUND(-2.5e0)
rd.dblcast.25	round	SELECT ROUND(CAST(2.5 AS DOUBLE))
rd.dblcast.35	round	SELECT ROUND(CAST(3.5 AS DOUBLE))
rd.deccast.25	round	SELECT ROUND(CAST(2.5 AS DECIMAL(10,1)))
rd.deccast.35	round	SELECT ROUND(CAST(3.5 AS DECIMAL(10,1)))
rd.s2.dec125	round	SELECT ROUND(0.125, 2)
rd.s2.dec135	round	SELECT ROUND(0.135, 2)
rd.s2.dbl125	round	SELECT ROUND(0.125e0, 2)
rd.s2.dbl135	round	SELECT ROUND(0.135e0, 2)
