CLAIM_ID	DOC_SECTION	CLAIM	VERDICT	EVIDENCE
A01	2.2	.sdkmanrc pins java=25.0.1-tem, maven=3.9.12; nothing in build checks JDK/Maven version	CONFIRMED	.sdkmanrc:5-6 "java=25.0.1-tem" "maven=3.9.12"; no version-check plugin found in pom.xml
A02	2.2	.sdkmanrc "which Windows cannot read"	UNVERIFIABLE	General claim about SDKMAN/Windows compatibility; not checkable by file:line or command in this repo
A03	2.2	README Quick Start runs `mvn -pl engine test`; the engine module no longer exists	CONFIRMED	README.md:262 "mvn -pl engine test"; `ls engine` -> "No such file or directory"; pom.xml has no engine module
A04	2.2	README test counts (1,713 for core) are years out of date	CONFIRMED	README.md:261,473 "1,713 tests"; current core suite is much larger (Appendix A shows 4,461 at f659d747a, 2026-09-17)
A05	2.2	README sends to AGENTS.md, core/README.md, docs/GATES.md; GATES.md is 4,841 lines and grows with almost every commit — 51 of 52 since c062b9bc9	CONFIRMED	README.md:5; `wc -l docs/GATES.md` = 4841; `git log --oneline c062b9bc9..97a32a987` = 52 commits, `-- docs/GATES.md` = 51
A06	2.2	247 Markdown files at top level of docs/, no index	CONFIRMED	`find docs -maxdepth 1 -name "*.md" | wc -l` = 247; no README.md/INDEX.md at docs/ top level (only unrelated INDEXOF_SUBSTRING_LANE_CENSUS.md)
A07	2.2	spec/pct/parser-equivalence read legend-engine/legend-pure checkouts via -Dlegend.engine.root/-Dlegend.pure.root, pinned in tools/oracle-pins.env	CONFIRMED	pom.xml:68-94 defines legend.engine.root/legend.pure.root; tools/oracle-pins.env defines LEGEND_ENGINE_SHA/LEGEND_PURE_SHA
A08	2.2	No .gitattributes; index is "2,920 files LF, 10 binary, 4 exceptions"	STALE	True at c062b9bc9 exactly (git ls-files --eol there: 2920 lf, 10 -text, 2 mixed, 2 crlf). At HEAD 97a32a987: 2981 lf, 11 -text (binary), 8 none(empty), 2 mixed, 2 crlf = 3004 files total. "4 exceptions" (mixed+crlf) still holds; LF and binary counts are stale by 61 and 1 respectively.
A09	2.2	prelude.pure is the one exception with mixed stored bytes (upstream CRLF)	CONFIRMED	`git ls-files --eol` shows "i/mixed w/mixed ... core/src/main/resources/com/legend/builtin/prelude.pure"
A10	2.2	POMs set maven.compiler.source/target to 21 rather than release	CONFIRMED	pom.xml:27-28 "<maven.compiler.source>21</maven.compiler.source>" / target 21; no <release> element in pom.xml
A11	2.2	CI builds only on JDK 25 (.github/actions/gate-env defaults java-version "25"); nothing runs on 21	CONFIRMED	.github/actions/gate-env/action.yml:12-13 default "25"; grep of all workflows shows no caller overrides java-version (gates-run.yml:135,185; diagnostics.yml:47 all omit the input)
A12	2.2	No LICENSE, no NOTICE, no CONTRIBUTING.md, no CODEOWNERS, no .editorconfig	CONFIRMED	Checked repo root: all five files/paths absent (ls -e test on each returned MISSING)
A13	2.2	nlq's cdm-model.pure declares `provision` twice in PriceTypeEnum at lines 2574-2575, module tests fail on fresh clone	CONFIRMED	nlq/src/test/resources/nlq/cdm-model.pure:2566-2577 (Enum observable::PriceTypeEnum with "provision," at 2574 and 2575); `mvn -o -pl nlq test` -> "NlqCdmModelTest.setup:37 » Model [2566:1] Found duplicated value 'provision' in enumeration 'observable::PriceTypeEnum'"; Tests run 208, Errors 1, Skipped 10
A14	2.2	tools/engine-runner/pom.xml is parentless, repeats upstream version as its own 4.145.0, depends on org.finos.legend:legend-lite-core (a groupId this reactor does not publish; root pom's is com.legend)	CONFIRMED	tools/engine-runner/pom.xml:1-4 no <parent>, groupId "perf"; line 6 <legend.version>4.145.0</legend.version>; line 15 (dependency block) declares groupId org.finos.legend artifactId legend-lite-core; root pom.xml:7 groupId com.legend
A15	2.2	projects/ (56 interdependent Legend projects) checked only by scripts/projects/check.py, by hand; scripts/ has no build coverage	CONFIRMED	`find projects -maxdepth 1 -type d` = 56 dirs; scripts/projects/check.py exists; grep across all pom.xml/*.yml/*.sh for "check.py" or "scripts/projects" invocation = no hits (only a comment reference in parser-equivalence/pom.xml:107, not an execution)
A16	2.3	Nine core test classes read other modules' sources by relative path: ParserBoundaryArchTest, HarnessDisciplineTest, JavaEvalLedgerTest, JdbcSurfaceCensusTest, LegacyReachbackCensusTest, SkipCensusTest, VerdictChannelRegisterTest, DiagramServiceTest, DanglingStateGuardTest (walks all five modules)	CONFIRMED	All nine .java files found under core/src/test/java; DanglingStateGuardTest.java:55 ROOTS = Stream.of("core", "spec", "nlq", "pct", "parser-equivalence")
A17	2.3	Stress corpus loads eleven of its projects from ../projects	CONFIRMED	core/src/test/java/com/legend/integration/StressCorpus.java:24-27 LINKED_PROJECTS lists exactly 11 names; line 35 PROJECTS = Path.of("../projects")
A18	2.3	ErrorShapeGuardrailTest still walks ../engine, a deleted module, skipping silently because it is gone	CONFIRMED	core/src/test/java/com/legend/ErrorShapeGuardrailTest.java:400-406: `Path.of("../engine/src/main/java"); if (Files.isDirectory(engine)) { walk... }` — no else branch, no assertion, no log; `../engine` does not exist at repo root
A19	2.3	Gate 7 passes with up to 1 failure and 26 errors; a roster of 23 test class names in gate 8	CONFIRMED (roster)	tools/allgates.sh:336-346 lists exactly 23 *Test class names in the "for tc in" rename-goes-red loop for gate 8 (verified by grep count)
A20	2.3	Gate 11 (differential) opt-in, left out of default chain, breaking the time budget	CONFIRMED	tools/allgates.sh:40 WANT default "1,2,3,4,5,6,7,8,9,10" (11 absent); comment at line 36-39 explains gate 11 is opt-in for budget reasons
A21	2.3	MIN_PASS_H2 floor in StressServiceSuitesTest, but no gate/workflow runs the H2 stress lane	CONFIRMED	core/src/test/java/com/legend/integration/StressServiceSuitesTest.java:152 MIN_PASS_H2=4622; tools/allgates.sh gate10 (lines 381-389) runs StressServiceSuitesTest with no -Dstress.backend=h2; grep for "stress.backend" across all *.yml/*.sh/*.xml = no hits
A22	2.3	F-AA in docs/STRESS_CORPUS_THROUGH_LITE_2026_09_16.md records the stress floor was wrong when committed, caught only on a hand re-run	CONFIRMED	docs/STRESS_CORPUS_THROUGH_LITE_2026_09_16.md:200 row "F-AA | H2 FLOOR CORRECTION..."
A23	2.3	Generators are tests in spec switched on by flags, rewrite files in the working tree; tools/bump.sh is 313 lines	CONFIRMED	spec/src/test/java/com/legend/generators/CoreTree.java exists, javadoc references "../core"; `wc -l tools/bump.sh` = 313
A24	2.4	ArchUnit layer rules, NullAway on every clean compile, Enforcer ban on upstream artifacts in core; 3 runtime deps (DuckDB/SQLite/H2)	CONFIRMED	core/pom.xml:188 NullAway Xep args; core/pom.xml:112-128 maven-enforcer-plugin bannedDependencies excludes org.finos.legend:*; core/pom.xml:32,36,44 org.duckdb/org.xerial/com.h2database deps
A25	2.4	experiments/ holds Bazel prototypes: legend_rules_test, per-element caching; BazelSmokeTest, NoEagerTypeReferencesTest, NoEagerUserClassLoadsTest exist	CONFIRMED	experiments/legend_rules_test/{MODULE.bazel,BUILD.bazel} exist; core/src/test/java/.../integration/BazelSmokeTest.java, architecture/NoEagerTypeReferencesTest.java, architecture/NoEagerUserClassLoadsTest.java all exist
A26	4.2	legend-pure's .pure files shipped inside release jars, "measured byte-identical to the source tree at 5.92.0"; re-measure at current pin (5.99.0/4.145.0)	CONFIRMED	legend-pure-m3-core-5.99.0.jar: 245 .pure files, 0 byte-differences vs legend-pure checkout at pinned SHA 7fbc7d6e8 (worktree diff, cmp -s on all 245 files: DIFF_COUNT=0)
A27	4.2	"most of legend-engine" .pure files also shipped byte-identical (implied by generalization to phase 2/generator design)	CONFIRMED	4 engine .pure-bearing jars actually consumed by pom.xml (legend-engine-pure-code-compiled-core, -pure-functions-standard-pure, -pure-functions-relation-pure, -pure-functions-unclassified-pure) at 4.145.0: 574+55+65+65=759 files, 0 diffs vs legend-engine checkout at pinned SHA 230c15919
A28	4.5	Between 2026-09-11 and 2026-09-18, stress floors changed in nine commits (still read 4,700/4,622); fifteen edited JavaEvalLedgerTest	UNVERIFIABLE (partially CONFIRMED)	MIN_PASS=4700, MIN_PASS_H2=4622 confirmed current (StressServiceSuitesTest.java:152-153); could not cleanly reproduce "139 commits 09-11..09-18" base range (see A44) so the "nine"/"fifteen" sub-counts could not be independently re-derived within budget
A29	4.5	c062b9bc9..a16a1ae16 (31 commits): 26 edited JavaEvalLedgerTest; AssertVerdicts pin moved 22 times through the exact sequence 1842→1991→...→2599	CONFIRMED	`git log --oneline c062b9bc9..a16a1ae16 -- core/src/test/java/com/legend/JavaEvalLedgerTest.java` = 26 of 31; extracted AssertVerdicts constant per commit reproduces the exact 23-value/22-transition sequence quoted in the doc
A30	4.5	Provenance comment for AssertVerdicts had grown to 5,696 characters at a16a1ae16	IMPRECISE	Extracted comment text at a16a1ae16 measures 5,562 chars (Python len(), UTF-8 decoded) / 5,611 bytes / 5,646 chars including the "Map.entry(...)," prefix — all within ~2% of 5,696 but none matches exactly under several reasonable extraction boundaries
