# NATIVE CLAIMS CENSUS — 2026-09-10 snapshot (program §3 D1; homework §3n).
# The 175 Pure.java FQNs whose signatureKey is in NONE of the four lowering registries
# (Scalars.RULES, Aggregates.REDUCERS, Windows.FNS, Windows.AGGREGATES), not a CoreFn
# name, not in WALLED_NATIVES — classified by which ad-hoc core/main file names them.
#   OFF-REGISTRY IMPL  named in a lowering/exec/verdict file  -> implemented, must CLAIM
#   FRONT-END-ONLY     named only in compiler/resolver/normalizer -> grey, adjudicate
#   CONSTANT-ONLY      named only as a PlatformTypes/SystemMetamodel constant -> unimplemented
#   NONE               named nowhere outside Pure.java -> unimplemented
# Regenerate: tools/native-axes.py (needs core/target/lowering-coverage-probe.txt from the
# probe in homework §3n). Superseded the day the claim registry (batch 3) makes it a
# computed fact.
class	fqn	handlers
CONSTANT-ONLY	meta::alloy::service::execution::setUpDataSQLs	
CONSTANT-ONLY	meta::alloy::service::execution::setUpDataSQLsV2	
CONSTANT-ONLY	meta::core::runtime::connectionByElement	
CONSTANT-ONLY	meta::legend::executeLegendQuery	
CONSTANT-ONLY	meta::pure::executionPlan::executionPlan	
CONSTANT-ONLY	meta::pure::executionPlan::toString::planToString	
CONSTANT-ONLY	meta::pure::executionPlan::toString::planToStringWithoutFormatting	
CONSTANT-ONLY	meta::pure::functions::asserts::assertError	
CONSTANT-ONLY	meta::pure::functions::relation::assertTdsEquivalent	
CONSTANT-ONLY	meta::pure::lineage::scanColumns::scanColumns	
CONSTANT-ONLY	meta::pure::lineage::scanProperties::propertyTree::buildPropertyTree	
CONSTANT-ONLY	meta::pure::lineage::scanProperties::scanProperties	
CONSTANT-ONLY	meta::pure::lineage::scanRelations::scanRelations	
CONSTANT-ONLY	meta::pure::mapping::withChainedMappings	
CONSTANT-ONLY	meta::relational::functions::sqlQueryToString::createDbConfig	
CONSTANT-ONLY	meta::relational::functions::sqlstring::toNonExecutableSQLString	
CONSTANT-ONLY	meta::relational::functions::sqlstring::toSQL	
CONSTANT-ONLY	meta::relational::functions::sqlstring::toSQLString	
CONSTANT-ONLY	meta::relational::functions::sqlstring::toSQLStringPretty	
CONSTANT-ONLY	meta::relational::functions::toDDL::createSchemaStatement	
CONSTANT-ONLY	meta::relational::functions::toDDL::createTableStatement	
CONSTANT-ONLY	meta::relational::functions::toDDL::dropAndCreateSchemaInDb	
CONSTANT-ONLY	meta::relational::functions::toDDL::dropAndCreateTableInDb	
CONSTANT-ONLY	meta::relational::functions::toDDL::dropSchemaStatement	
CONSTANT-ONLY	meta::relational::functions::toDDL::dropTableStatement	
CONSTANT-ONLY	meta::relational::metamodel::execute::executeInDbToTDS	
CONSTANT-ONLY	meta::relational::metamodel::execute::fetchDbColumnsMetaData	
CONSTANT-ONLY	meta::relational::metamodel::execute::fetchDbPrimaryKeysMetaData	
CONSTANT-ONLY	meta::relational::metamodel::execute::fetchDbSchemasMetaData	
CONSTANT-ONLY	meta::relational::metamodel::execute::fetchDbTablesMetaData	
CONSTANT-ONLY	meta::relational::metamodel::execute::loadCsvToDbTable	
FRONT-END-ONLY	meta::alloy::objectReference::decodeObjectReferencesAndGetPkMap	ObjectReferenceDecode
FRONT-END-ONLY	meta::alloy::objectReference::generateObjectReferences	ObjectReferenceArms
FRONT-END-ONLY	meta::alloy::objectReference::generateObjectReferencesForGivenSetId	ObjectReferenceArms
FRONT-END-ONLY	meta::legend::lite::legacyAssocPredicate	AssociationSynthesis; MappingNormalizer; XStorePureEnds
FRONT-END-ONLY	meta::legend::lite::legacyLocalProperty	MappingNormalizer; XStorePureEnds
FRONT-END-ONLY	meta::legend::lite::otherwise	MappingNormalizer; Substitution
FRONT-END-ONLY	meta::pure::alloy::connections::relationalMapperPostProcessor	RelationalMapperRenames
FRONT-END-ONLY	meta::pure::executionPlan::execute	ValidateDesugar
FRONT-END-ONLY	meta::pure::executionPlan::featureFlag::withFeatureFlags	ExecuteChainAssembly; StoreResolver
FRONT-END-ONLY	meta::pure::functions::collection::keyValues	LiteralUnroll
FRONT-END-ONLY	meta::pure::functions::collection::objectReferenceIn	Substitution
FRONT-END-ONLY	meta::pure::functions::collection::paginated	Typer
FRONT-END-ONLY	meta::pure::functions::date::convertTimeZone	RelOpTranslator
FRONT-END-ONLY	meta::pure::functions::lang::dynamicNew	LiteralUnroll
FRONT-END-ONLY	meta::pure::functions::lang::extractEnumValue	Typer
FRONT-END-ONLY	meta::pure::functions::lang::subType	ScanRelations; IslandScan; SpecParser; DataQualityValidationSectionGrammar; AggregationAwareRouting; CorrelatedSubselects; InnerDemand; Substitution
FRONT-END-ONLY	meta::pure::functions::lang::whenSubType	AggregationAwareRouting
FRONT-END-ONLY	meta::pure::functions::math::olap::averageRank	Typer
FRONT-END-ONLY	meta::pure::functions::meta::enumValues	LiteralUnroll
FRONT-END-ONLY	meta::pure::functions::meta::newUnit	SpecParser
FRONT-END-ONLY	meta::pure::functions::meta::sourceInformation	ProtocolEmitter; TailEmitter
FRONT-END-ONLY	meta::pure::functions::relation::ascending	CoreFn
FRONT-END-ONLY	meta::pure::functions::relation::descending	CoreFn
FRONT-END-ONLY	meta::pure::functions::relation::unbounded	Frames
FRONT-END-ONLY	meta::pure::graphFetch::execution::alloyConfig	GraphEmission
FRONT-END-ONLY	meta::pure::mapping::withMapping	FromChecker
FRONT-END-ONLY	meta::pure::metamodel::relation::newTDSRelationAccessor	CoreFn
FRONT-END-ONLY	meta::pure::router::execute	ExecuteChainAssembly; Typer; ValidateDesugar
FRONT-END-ONLY	meta::pure::router::preeval::preval	ExecuteChainAssembly
FRONT-END-ONLY	meta::pure::tds::tdsContains	InnerDemand; Substitution
FRONT-END-ONLY	meta::relational::extension::relationalExtensions	TestDataGenerationNatives
FRONT-END-ONLY	meta::relational::milestoning::concatenateTemporalTdsQueries	ExecuteChainAssembly
FRONT-END-ONLY	meta::relational::postProcessor::cteExtraction::extractSubqueriesAsCTEs	ContextReading
FRONT-END-ONLY	meta::relational::postProcessor::nonExecutable	ContextReading
FRONT-END-ONLY	meta::relational::postProcessor::replaceTables	ContextReading
NONE	meta::pure::extension::defaultExtensions	
NONE	meta::pure::extension::moduleExtension	
NONE	meta::pure::functions::boolean::equalJsonStrings	
NONE	meta::pure::functions::collection::getIfAbsentPutWithKey	
NONE	meta::pure::functions::collection::getMapStats	
NONE	meta::pure::functions::collection::removeAllOptimized	
NONE	meta::pure::functions::collection::replaceAll	
NONE	meta::pure::functions::lang::evaluate	
NONE	meta::pure::functions::meta::_subTypeOf	
NONE	meta::pure::functions::meta::canReactivateDynamically	
NONE	meta::pure::functions::meta::elementPath	
NONE	meta::pure::functions::meta::enumName	
NONE	meta::pure::functions::meta::generalizations	
NONE	meta::pure::functions::meta::genericTypeClass	
NONE	meta::pure::functions::meta::getHiddenPayload	
NONE	meta::pure::functions::meta::getUnitValue	
NONE	meta::pure::functions::meta::lenientPathToElement	
NONE	meta::pure::functions::meta::openVariableValues	
NONE	meta::pure::functions::meta::pathToElement	
NONE	meta::pure::functions::meta::reactivate	
NONE	meta::pure::functions::meta::subTypeOf	
NONE	meta::pure::functions::relation::_range	
NONE	meta::pure::functions::string::isAlphaNumeric	
NONE	meta::pure::functions::string::lastIndexOf	
NONE	meta::pure::functions::test::testedBy	
NONE	meta::pure::functions::variant::convert::toJson	
NONE	meta::pure::mapping::resolveStore	
NONE	meta::pure::metamodel::relation::stringToTDS	
NONE	meta::pure::mutation::save	
NONE	meta::pure::router::printer::asString	
NONE	meta::pure::test::pct::loadPCTManifest	
NONE	meta::pure::test::surveyor::executePCTTest	
NONE	meta::pure::test::surveyor::executeTest	
NONE	meta::pure::tools::noDebug	
NONE	meta::relational::metamodel::execute::createTempTable	
NONE	meta::relational::metamodel::execute::dropTempTable	
NONE	meta::relational::metamodel::execute::loadValuesToDbTable	
NONE	meta::relational::metamodel::relation	
NONE	meta::relational::postProcessor::cteExtraction::extractSubQueriesAsCTEsPostProcessor	
OFF-REGISTRY IMPL	meta::legend::lite::unionScan	RelationPredicates; UnionSynthesis; Pipelines
OFF-REGISTRY IMPL	meta::pure::functions::asserts::assert	AssertVerdicts; LambdaBodies; LiteralUnroll; MappingProtocolParser
OFF-REGISTRY IMPL	meta::pure::functions::asserts::assertContains	AssertVerdicts
OFF-REGISTRY IMPL	meta::pure::functions::asserts::assertEmpty	AssertVerdicts; LambdaBodies
OFF-REGISTRY IMPL	meta::pure::functions::asserts::assertEq	AssertVerdicts
OFF-REGISTRY IMPL	meta::pure::functions::asserts::assertEqWithinTolerance	AssertVerdicts; VerdictQueries
OFF-REGISTRY IMPL	meta::pure::functions::asserts::assertEquals	AssertVerdicts; LineageTreeVerdicts; LambdaBodies
OFF-REGISTRY IMPL	meta::pure::functions::asserts::assertFalse	AssertVerdicts; LambdaBodies
OFF-REGISTRY IMPL	meta::pure::functions::asserts::assertInstanceOf	AssertVerdicts; LiteralUnroll
OFF-REGISTRY IMPL	meta::pure::functions::asserts::assertIs	AssertVerdicts
OFF-REGISTRY IMPL	meta::pure::functions::asserts::assertJsonStringsEqual	AssertVerdicts
OFF-REGISTRY IMPL	meta::pure::functions::asserts::assertNotEmpty	AssertVerdicts; LambdaBodies
OFF-REGISTRY IMPL	meta::pure::functions::asserts::assertNotEquals	AssertVerdicts; LambdaBodies
OFF-REGISTRY IMPL	meta::pure::functions::asserts::assertSameElements	AssertVerdicts; CanonicalDivergence
OFF-REGISTRY IMPL	meta::pure::functions::asserts::assertSize	AssertVerdicts
OFF-REGISTRY IMPL	meta::pure::functions::boolean::is	Lexer; Lexicon
OFF-REGISTRY IMPL	meta::pure::functions::collection::union	Typer; Fold; GqlParser; ClassSource; GraphEmission; Lexicon
