kind,subkind,package,file,line,method,type_related,verdict,reachability,detail,review_note,snippet
comment,fallback,com.legend,com/legend/AggAwareActivities.java,25,,False,,,javadoc,,"/** * The AGGREGATION-AWARE execution-activity channel: for a query whose * root class is mapped through an AggregationAware set, the engine * records ONE {@code AggregationAwareActivity} whose * {@code rewrittenQuery} is the ROUTED query's"
op,orElse,com.legend,com/legend/AggAwareActivities.java,58,AggAwareActivities,True,,,,,.orElse(mappingFqn);
op,default_arrow,com.legend,com/legend/AggAwareActivities.java,65,AggAwareActivities,True,,,,,default -> {
op,isEmpty_ternary,com.legend,com/legend/AggAwareActivities.java,68,AggAwareActivities,True,,,,,cur = ch.isEmpty() ? null : ch.get(0);
op,orElse,com.legend,com/legend/AggAwareActivities.java,96,AggAwareActivities,False,,,,,.orElse(null);
op,default_arrow,com.legend,com/legend/AggAwareActivities.java,192,step,True,,,,,default -> {
op,default_arrow,com.legend,com/legend/AggAwareActivities.java,259,expr,False,,,,,default -> {
throw,INTERNAL_CUSTOM:NotImplementedException,com.legend,com/legend/AssertErrorNative.java,44,run,True,,,INTERNAL_CUSTOM,,throw new com.legend.error.NotImplementedException(
throw,INTERNAL_CUSTOM:NotImplementedException,com.legend,com/legend/AssertErrorNative.java,49,run,True,,,INTERNAL_CUSTOM,,throw new com.legend.error.NotImplementedException(
throw,INTERNAL_CUSTOM:NotImplementedException,com.legend,com/legend/AssertErrorNative.java,59,run,True,,,INTERNAL_CUSTOM,,throw new com.legend.error.NotImplementedException(
catch,SWALLOWED,com.legend,com/legend/AssertErrorNative.java,68,run,True,,,java.sql.SQLException e,,{ caught = e; }
catch,SWALLOWED,com.legend,com/legend/AssertErrorNative.java,70,run,True,,,com.legend.error.ModelException e,,"{ // A DEFERRED-BODY guard (the lowering's dynamic validations, // e.g. timeBucket's duration-unit check): interpreted pure // raises these lazily at EVAL, and for the assertError // lambda our lowering IS the eval — the guard's message is "
throw,OTHER:SQLException,com.legend,com/legend/AssertErrorNative.java,84,run,False,,,OTHER,,"throw new java.sql.SQLException(""No error was thrown"");"
throw,OTHER:SQLException,com.legend,com/legend/AssertErrorNative.java,90,run,False,,,OTHER,,throw new java.sql.SQLException(
standin,Type.Primitive.*,com.legend,com/legend/AssertErrorNative.java,96,run,True,,,plain,,com.legend.compiler.element.type.Type.Primitive.BOOLEAN);
throw,INTERNAL_CUSTOM:NotImplementedException,com.legend,com/legend/AssertErrorNative.java,113,run,True,,,INTERNAL_CUSTOM,,throw new com.legend.error.NotImplementedException(
op,null_ternary,com.legend,com/legend/AssertVerdicts.java,95,AssertVerdicts,True,,,,,return d == null ? ok() : fail(d);
op,notnull_ternary,com.legend,com/legend/AssertVerdicts.java,116,AssertVerdicts,False,,,,,List<Object> e = ik != null
op,notnull_ternary,com.legend,com/legend/AssertVerdicts.java,118,AssertVerdicts,False,,,,,List<Object> a = ik != null
op,notnull_ternary,com.legend,com/legend/AssertVerdicts.java,140,AssertVerdicts,False,,,,,boolean held = byteVerdict != null ? byteVerdict.held() : equal;
op,notnull_ternary,com.legend,com/legend/AssertVerdicts.java,150,AssertVerdicts,False,,,,,return fail(d != null ? d
op,notnull_ternary,com.legend,com/legend/AssertVerdicts.java,164,AssertVerdicts,False,,,,,List<Object> e = ik != null
op,notnull_ternary,com.legend,com/legend/AssertVerdicts.java,166,AssertVerdicts,False,,,,,List<Object> a = ik != null
op,notnull_ternary,com.legend,com/legend/AssertVerdicts.java,182,AssertVerdicts,False,,,,,boolean held = byteVerdict != null ? byteVerdict.held() : d == null;
op,notnull_ternary,com.legend,com/legend/AssertVerdicts.java,186,AssertVerdicts,False,,,,,return fail(d != null ? d
op,null_ternary,com.legend,com/legend/AssertVerdicts.java,200,AssertVerdicts,False,,,,,return d == null ? ok() : fail(d);
op,notnull_ternary,com.legend,com/legend/AssertVerdicts.java,227,AssertVerdicts,False,,,,,boolean held = byteVerdict != null ? byteVerdict.held() : d == null;
op,notnull_ternary,com.legend,com/legend/AssertVerdicts.java,231,AssertVerdicts,False,,,,,return fail(d != null ? d
op,null_ternary,com.legend,com/legend/AssertVerdicts.java,247,AssertVerdicts,False,,,,,return d == null ? ok() : fail(d);
op,null_ternary,com.legend,com/legend/AssertVerdicts.java,277,AssertVerdicts,False,,,,,return d == null ? ok() : fail(d);
op,default_arrow,com.legend,com/legend/AssertVerdicts.java,303,AssertVerdicts,False,,,,,default -> {
