# MODEL-PATH REFUSAL ALLOWLIST — oracle parse-accepted sources lite's MODEL transform refuses (the compile-seam family).
# The ENGINE also refuses these at ITS compile stage; lite refuses at FromProtocol with the engine's compile text, and the
# PROTOCOL bytes still match (harvest MODEL-PATH-refuses:BYTES-MATCH). Id-level, replacing the old message-prefix pardon
# (HARNESS_SIMPLIFICATION_PLAN 5c: a prefix absorbs unrelated future refusals; a file cannot).
# id	reason
engine-fixture#339	a Relation mapping source must name a function — engine compile-refuses; parse bytes match
legend-engine-core/legend-engine-core-base/legend-engine-core-language-pure/legend-engine-language-pure-compiler/src/test/java/org/finos/legend/engine/language/pure/compiler/test/fromGrammar/TestDomainCompilationFromGrammar.java#72	wrong-arity association — engine compile-refuses; parse bytes match
legend-engine-core/legend-engine-core-base/legend-engine-core-language-pure/legend-engine-language-pure-compiler/src/test/java/org/finos/legend/engine/language/pure/compiler/test/fromGrammar/TestDomainCompilationFromGrammar.java#74	wrong-arity association — engine compile-refuses; parse bytes match
legend-pure-core/legend-pure-m3-core/src/test/java/org/finos/legend/pure/m3/tests/elements/association/TestAssociation.java#5	wrong-arity association — engine compile-refuses; parse bytes match
legend-pure-core/legend-pure-m3-core/src/test/java/org/finos/legend/pure/m3/tests/elements/association/TestAssociation.java#9	wrong-arity association — engine compile-refuses; parse bytes match
legend-engine-core/legend-engine-core-base/legend-engine-core-language-pure/legend-engine-language-pure-compiler/src/test/java/org/finos/legend/engine/language/pure/compiler/test/fromGrammar/TestRelationFunctionMappingCompilation.java#105	C12 harvest 2026-08-14: dataspace/dq model-transform seam — oracle parse-accepts, byte parity holds on the doc surface; classify with the queued census family
legend-engine-core/legend-engine-core-base/legend-engine-core-language-pure/legend-engine-language-pure-grammar-http-api/src/test/java/org/finos/legend/engine/language/pure/grammar/api/test/TestGrammarToJsonApi.java#42 [sectioned/document+strict] null ==> expected: <0> but was: <1>	C12 harvest 2026-08-14: dataspace/dq model-transform seam — oracle parse-accepts, byte parity holds on the doc surface; classify with the queued census family
legend-engine-xts-data-space/legend-engine-xt-data-space-compiler/src/test/java/org/finos/legend/engine/language/pure/compiler/test/TestDataSpaceCompilationFromGrammar.java#1	C12 harvest 2026-08-14: dataspace/dq model-transform seam — oracle parse-accepts, byte parity holds on the doc surface; classify with the queued census family
legend-engine-xts-data-space/legend-engine-xt-data-space-compiler/src/test/java/org/finos/legend/engine/language/pure/compiler/test/TestDataSpaceCompilationFromGrammar.java#4	C12 harvest 2026-08-14: dataspace/dq model-transform seam — oracle parse-accepts, byte parity holds on the doc surface; classify with the queued census family
legend-engine-xts-data-space/legend-engine-xt-data-space-compiler/src/test/java/org/finos/legend/engine/language/pure/compiler/test/TestDataSpaceCompilationFromGrammar.java#54	C12 harvest 2026-08-14: dataspace/dq model-transform seam — oracle parse-accepts, byte parity holds on the doc surface; classify with the queued census family
legend-engine-xts-data-space/legend-engine-xt-data-space-grammar/src/test/java/org/finos/legend/engine/language/pure/grammar/test/TestDataSpaceGrammarParser.java#68	C12 harvest 2026-08-14: dataspace/dq model-transform seam — oracle parse-accepts, byte parity holds on the doc surface; classify with the queued census family
legend-engine-xts-data-space/legend-engine-xt-data-space-grammar/src/test/java/org/finos/legend/engine/language/pure/grammar/test/TestDataSpaceGrammarRoundtrip.java#10	C12 harvest 2026-08-14: dataspace/dq model-transform seam — oracle parse-accepts, byte parity holds on the doc surface; classify with the queued census family
legend-engine-xts-data-space/legend-engine-xt-data-space-grammar/src/test/java/org/finos/legend/engine/language/pure/grammar/test/TestDataSpaceGrammarRoundtrip.java#5	C12 harvest 2026-08-14: dataspace/dq model-transform seam — oracle parse-accepts, byte parity holds on the doc surface; classify with the queued census family
legend-engine-xts-data-space/legend-engine-xt-data-space-grammar/src/test/java/org/finos/legend/engine/language/pure/grammar/test/TestDataSpaceGrammarRoundtrip.java#7	C12 harvest 2026-08-14: dataspace/dq model-transform seam — oracle parse-accepts, byte parity holds on the doc surface; classify with the queued census family
legend-engine-xts-data-space/legend-engine-xt-data-space-grammar/src/test/java/org/finos/legend/engine/language/pure/grammar/test/TestDataSpaceGrammarRoundtrip.java#8	C12 harvest 2026-08-14: dataspace/dq model-transform seam — oracle parse-accepts, byte parity holds on the doc surface; classify with the queued census family
legend-engine-xts-dataquality/legend-engine-xt-dataquality-compiler/src/test/java/org/finos/legend/engine/language/pure/compiler/toPureGraph/TestDataQualityCompilationFromGrammar.java#8	C12 harvest 2026-08-14: dataspace/dq model-transform seam — oracle parse-accepts, byte parity holds on the doc surface; classify with the queued census family
legend-engine-xts-dataquality/legend-engine-xt-dataquality-compiler/src/test/java/org/finos/legend/engine/language/pure/compiler/toPureGraph/TestDataQualityCompilationFromGrammar.java#12	C12 harvest 2026-08-14: model-transform seam refusal; queued census family
legend-engine-xts-dataquality/legend-engine-xt-dataquality-compiler/src/test/java/org/finos/legend/engine/language/pure/compiler/toPureGraph/TestDataQualityCompilationFromGrammar.java#13	C12 harvest 2026-08-14: model-transform seam refusal; queued census family
legend-engine-xts-dataquality/legend-engine-xt-dataquality-compiler/src/test/java/org/finos/legend/engine/language/pure/compiler/toPureGraph/TestDataQualityCompilationFromGrammar.java#26	C12 harvest 2026-08-14: model-transform seam refusal; queued census family
legend-engine-xts-dataquality/legend-engine-xt-dataquality-compiler/src/test/java/org/finos/legend/engine/language/pure/compiler/toPureGraph/TestDataQualityCompilationFromGrammar.java#38	C12 harvest 2026-08-14: model-transform seam refusal; queued census family
