LAM.pg1	lam	ERR	ERROR: operator does not exist: integer -> integer Hint: No operator matches the given name and argument types. You might need to add explicit type casts. Position: 20
LAM.pg2	lam	ERR	ERROR: column "x" does not exist Position: 32
LAM.sq1	lam	ERR	ERROR: column "x" does not exist Position: 29
LAM.dd	lam	ERR	ERROR: syntax error at or near "[" Position: 36
IAO.pg	lam	OK	String:eve,dave,carol,bob,alice
IAO.sq1	lam	ERR	ERROR: function group_concat(character varying, unknown) does not exist Hint: No function matches the given name and argument types. You might need to add explicit type casts. Position: 8
IAO.sq2	lam	ERR	ERROR: function group_concat(character varying, unknown) does not exist Hint: No function matches the given name and argument types. You might need to add explicit type casts. Position: 8
IAO.dd	lam	OK	String:eve,dave,carol,bob,alice
MODT.dd	tie	ERR	ERROR: syntax error at or near "[" Position: 18
MODT.pg	tie	OK	Integer:1
MODT.sq	tie	ERR	ERROR: could not identify an ordering operator for type json Hint: Use an explicit ordering operator or modify the query. Position: 89
MEDE.dd	tie	ERR	ERROR: syntax error at or near "[" Position: 20
MEDE.pg1	tie	OK	Double:1.5
MEDE.pg2	tie	OK	Integer:1
MEDE.sq	tie	ERR	ERROR: function median(json) does not exist Hint: No function matches the given name and argument types. You might need to add explicit type casts. Position: 16
AVGI.dd	tie	ERR	ERROR: syntax error at or near "[" Position: 17
AVGI.pg	tie	OK	BigDecimal:1.5000000000000000
AVGI.sq	tie	ERR	ERROR: function avg(json) does not exist Hint: No function matches the given name and argument types. You might need to add explicit type casts. Position: 16
KEYT.sq1	type	ERR	ERROR: cannot deconstruct an array as an object
KEYT.sq2	type	OK	String:a
KEYT.dd1	type	ERR	ERROR: cannot deconstruct an array as an object
KEYT.dd2	type	OK	String:a
VALT.sq1	type	ERR	ERROR: cannot deconstruct an array as an object
VALT.sq2	type	ERR	ERROR: cannot deconstruct an array as an object
VALT.sq3	type	ERR	ERROR: cannot deconstruct an array as an object
VALT.pg1	type	OK	PGobject:9
VALT.pg2	type	OK	String:x
VALT.dd1	type	ERR	ERROR: cannot deconstruct an array as an object
ME.dd	map	ERR	ERROR: syntax error at or near "{" Position: 12
ME.pg	map	OK	String:{}
ME.sq	map	OK	PGobject:{}
TVR.dd	var	ERR	ERROR: syntax error at or near "{" Position: 16
TVR.pg	var	OK	String:{"a": 1, "b": "x"}
TVR.sq	var	ERR	ERROR: function pg_catalog.json_object(unknown, integer, unknown, unknown) does not exist Hint: No function matches the given name and argument types. You might need to add explicit type casts. Position: 8
TXT.dd	xf	ERR	ERROR: syntax error at or near "[" Position: 39
TXT.pg	xf	OK	String:v1,v2
TXT.sq	xf	ERR	ERROR: function group_concat(text) does not exist Hint: No function matches the given name and argument types. You might need to add explicit type casts. Position: 16
SLU.dd	place	ERR	ERROR: syntax error at or near "[" Position: 37
SLU.pg1	place	OK	Long:3
SLU.pg2	place	OK	Long:10
SLU.pg3	place	OK	Long:3
SLU.sq1	place	ERR	ERROR: cannot deconstruct an array as an object
SSQ.sq	place	ERR	ERROR: cannot deconstruct an array as an object
SSQ.pg	place	OK	BigDecimal:9
SSQ.dd	place	ERR	ERROR: syntax error at or near "[" Position: 57
